timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-03-27 19:40:25,nginx-basic-76dd66bf4f-4zpft,2,15Mi,2.00,1
2025-03-27 19:40:35,nginx-basic-76dd66bf4f-4zpft,0,15Mi,0,1
2025-03-27 19:40:45,nginx-basic-76dd66bf4f-4zpft,3,15Mi,3.00,1
2025-03-27 19:40:55,nginx-basic-76dd66bf4f-4zpft,3,15Mi,3.00,1
2025-03-27 19:41:05,nginx-basic-76dd66bf4f-4zpft,7,15Mi,7.00,1
2025-03-27 19:41:15,nginx-basic-76dd66bf4f-4zpft,11,15Mi,11.00,1
2025-03-27 19:41:25,nginx-basic-76dd66bf4f-4zpft,11,15Mi,11.00,1
2025-03-27 19:41:36,nginx-basic-76dd66bf4f-4zpft,15,16Mi,15.00,1
2025-03-27 19:41:46,nginx-basic-76dd66bf4f-4zpft,18,15Mi,18.00,1
2025-03-27 19:41:56,nginx-basic-76dd66bf4f-4zpft,18,15Mi,18.00,1
2025-03-27 19:42:06,nginx-basic-76dd66bf4f-4zpft,20,15Mi,20.00,1
2025-03-27 19:42:16,nginx-basic-76dd66bf4f-4zpft,22,15Mi,22.00,1
2025-03-27 19:42:26,nginx-basic-76dd66bf4f-4zpft,22,15Mi,22.00,1
2025-03-27 19:42:36,nginx-basic-76dd66bf4f-4zpft,26,16Mi,26.00,1
2025-03-27 19:42:46,nginx-basic-76dd66bf4f-4zpft,29,16Mi,29.00,2
2025-03-27 19:42:56,nginx-basic-76dd66bf4f-4zpft,29,16Mi,29.00,2
2025-03-27 19:43:07,nginx-basic-76dd66bf4f-4zpft,28,16Mi,28.00,2
2025-03-27 19:43:07,nginx-basic-76dd66bf4f-klzrt,4,15Mi,4.00,2
2025-03-27 19:43:17,nginx-basic-76dd66bf4f-4zpft,30,15Mi,30.00,2
2025-03-27 19:43:17,nginx-basic-76dd66bf4f-klzrt,3,15Mi,3.00,2
2025-03-27 19:43:27,nginx-basic-76dd66bf4f-4zpft,30,15Mi,30.00,2
2025-03-27 19:43:27,nginx-basic-76dd66bf4f-klzrt,3,15Mi,3.00,2
2025-03-27 19:43:37,nginx-basic-76dd66bf4f-4zpft,30,16Mi,30.00,2
2025-03-27 19:43:37,nginx-basic-76dd66bf4f-klzrt,4,15Mi,4.00,2
2025-03-27 19:43:47,nginx-basic-76dd66bf4f-4zpft,33,16Mi,33.00,2
2025-03-27 19:43:47,nginx-basic-76dd66bf4f-klzrt,6,15Mi,6.00,2
2025-03-27 19:43:57,nginx-basic-76dd66bf4f-4zpft,33,16Mi,33.00,2
2025-03-27 19:43:57,nginx-basic-76dd66bf4f-klzrt,6,15Mi,6.00,2
2025-03-27 19:44:07,nginx-basic-76dd66bf4f-4zpft,34,15Mi,34.00,2
2025-03-27 19:44:07,nginx-basic-76dd66bf4f-klzrt,7,15Mi,7.00,2
2025-03-27 19:44:18,nginx-basic-76dd66bf4f-4zpft,36,15Mi,36.00,2
2025-03-27 19:44:18,nginx-basic-76dd66bf4f-klzrt,8,15Mi,8.00,2
2025-03-27 19:44:28,nginx-basic-76dd66bf4f-4zpft,36,15Mi,36.00,2
2025-03-27 19:44:28,nginx-basic-76dd66bf4f-klzrt,8,15Mi,8.00,2
2025-03-27 19:44:38,nginx-basic-76dd66bf4f-4zpft,33,16Mi,33.00,2
2025-03-27 19:44:38,nginx-basic-76dd66bf4f-klzrt,11,15Mi,11.00,2
