timestamp,scale_action,reason
2025-04-01 13:28:23,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:24,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:32,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:33,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:34,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:42,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:43,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:44,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:52,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:53,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:28:54,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:29:03,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:29:04,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:29:13,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:29:14,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:31:23,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:24,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:32,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:33,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:34,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:42,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:43,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:44,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:52,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:53,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:31:54,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:32:03,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:32:04,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:32:13,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:32:14,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:42:02,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:42:03,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-01 13:45:02,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-01 13:45:03,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
