timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-03-27 17:18:20,nginx-test-6df7f57b65-pspw4,0,15Mi,0,1
2025-03-27 17:18:30,nginx-test-6df7f57b65-pspw4,1,15Mi,1.00,1
2025-03-27 17:18:41,nginx-test-6df7f57b65-pspw4,1,15Mi,1.00,1
2025-03-27 17:18:51,nginx-test-6df7f57b65-pspw4,1,15Mi,1.00,1
2025-03-27 17:19:01,nginx-test-6df7f57b65-pspw4,2,15Mi,2.00,1
2025-03-27 17:19:11,nginx-test-6df7f57b65-pspw4,2,15Mi,2.00,1
2025-03-27 17:19:21,nginx-test-6df7f57b65-pspw4,3,15Mi,3.00,1
2025-03-27 17:19:31,nginx-test-6df7f57b65-pspw4,3,15Mi,3.00,1
2025-03-27 17:19:41,nginx-test-6df7f57b65-pspw4,3,15Mi,3.00,1
2025-03-27 17:19:51,nginx-test-6df7f57b65-pspw4,0,15Mi,0,1
