timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-15 19:43:34,nginx-basic-76dd66bf4f-tt8hq,0,15Mi,0,1
2025-04-15 19:43:44,nginx-basic-76dd66bf4f-tt8hq,0,15Mi,0,1
2025-04-15 19:43:54,nginx-basic-76dd66bf4f-tt8hq,1,15Mi,1.00,1
2025-04-15 19:44:04,nginx-basic-76dd66bf4f-tt8hq,1,15Mi,1.00,1
2025-04-15 19:44:14,nginx-basic-76dd66bf4f-tt8hq,1,15Mi,1.00,1
2025-04-15 19:44:24,nginx-basic-76dd66bf4f-tt8hq,2,15Mi,2.00,1
2025-04-15 19:44:35,nginx-basic-76dd66bf4f-tt8hq,2,15Mi,2.00,1
2025-04-15 19:44:45,nginx-basic-76dd66bf4f-tt8hq,2,15Mi,2.00,1
2025-04-15 19:44:55,nginx-basic-76dd66bf4f-tt8hq,2,15Mi,2.00,1
2025-04-15 19:45:05,nginx-basic-76dd66bf4f-tt8hq,3,15Mi,3.00,1
2025-04-15 19:45:15,nginx-basic-76dd66bf4f-tt8hq,3,15Mi,3.00,1
2025-04-15 19:45:25,nginx-basic-76dd66bf4f-tt8hq,3,15Mi,3.00,1
2025-04-15 19:45:35,nginx-basic-76dd66bf4f-tt8hq,4,15Mi,4.00,1
2025-04-15 19:45:45,nginx-basic-76dd66bf4f-tt8hq,4,15Mi,4.00,1
2025-04-15 19:45:55,nginx-basic-76dd66bf4f-tt8hq,4,15Mi,4.00,1
2025-04-15 19:46:05,nginx-basic-76dd66bf4f-tt8hq,4,16Mi,4.00,1
2025-04-15 19:46:16,nginx-basic-76dd66bf4f-tt8hq,4,16Mi,4.00,1
2025-04-15 19:46:26,nginx-basic-76dd66bf4f-tt8hq,5,15Mi,5.00,1
2025-04-15 19:46:36,nginx-basic-76dd66bf4f-tt8hq,5,16Mi,5.00,1
2025-04-15 19:46:46,nginx-basic-76dd66bf4f-tt8hq,5,16Mi,5.00,1
2025-04-15 19:46:56,nginx-basic-76dd66bf4f-tt8hq,5,15Mi,5.00,1
2025-04-15 19:47:06,nginx-basic-76dd66bf4f-tt8hq,5,16Mi,5.00,1
2025-04-15 19:47:16,nginx-basic-76dd66bf4f-tt8hq,5,16Mi,5.00,1
2025-04-15 19:47:26,nginx-basic-76dd66bf4f-tt8hq,6,16Mi,6.00,1
2025-04-15 19:47:36,nginx-basic-76dd66bf4f-tt8hq,6,16Mi,6.00,1
2025-04-15 19:47:47,nginx-basic-76dd66bf4f-tt8hq,6,16Mi,6.00,1
2025-04-15 19:47:57,nginx-basic-76dd66bf4f-tt8hq,6,15Mi,6.00,1
2025-04-15 19:48:07,nginx-basic-76dd66bf4f-tt8hq,7,16Mi,7.00,1
2025-04-15 19:48:17,nginx-basic-76dd66bf4f-tt8hq,7,15Mi,7.00,1
2025-04-15 19:48:27,nginx-basic-76dd66bf4f-tt8hq,7,15Mi,7.00,1
2025-04-15 19:48:37,nginx-basic-76dd66bf4f-tt8hq,7,15Mi,7.00,1
2025-04-15 19:48:47,nginx-basic-76dd66bf4f-tt8hq,8,16Mi,8.00,1
2025-04-15 19:48:57,nginx-basic-76dd66bf4f-tt8hq,8,16Mi,8.00,1
2025-04-15 19:49:07,nginx-basic-76dd66bf4f-tt8hq,7,16Mi,7.00,1
2025-04-15 19:49:18,nginx-basic-76dd66bf4f-tt8hq,6,16Mi,6.00,1
2025-04-15 19:49:28,nginx-basic-76dd66bf4f-tt8hq,6,16Mi,6.00,1
2025-04-15 19:49:38,nginx-basic-76dd66bf4f-tt8hq,5,16Mi,5.00,1
2025-04-15 19:49:48,nginx-basic-76dd66bf4f-tt8hq,4,16Mi,4.00,1
2025-04-15 19:49:58,nginx-basic-76dd66bf4f-tt8hq,4,16Mi,4.00,1
2025-04-15 19:50:08,nginx-basic-76dd66bf4f-tt8hq,4,16Mi,4.00,1
2025-04-15 19:50:18,nginx-basic-76dd66bf4f-tt8hq,3,16Mi,3.00,1
2025-04-15 19:50:28,nginx-basic-76dd66bf4f-tt8hq,3,16Mi,3.00,1
2025-04-15 19:50:38,nginx-basic-76dd66bf4f-tt8hq,2,15Mi,2.00,1
2025-04-15 19:50:49,nginx-basic-76dd66bf4f-tt8hq,1,15Mi,1.00,1
2025-04-15 19:50:59,nginx-basic-76dd66bf4f-tt8hq,1,15Mi,1.00,1
2025-04-15 19:51:09,nginx-basic-76dd66bf4f-tt8hq,0,15Mi,0,1
