[2025-04-22 22:25:26] 44m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:25:26] 39m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:26] 39m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:25:26] 39m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:25:26] 39m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:25:26] 39m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:26] 39m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:25:26] 39m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:25:26] 39m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:26] 39m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:26] 24m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:25:26] 19m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:26] 19m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:25:26] 19m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:25:26] 19m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:25:26] 19m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:26] 19m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:25:26] 19m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:25:26] 19m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:26] 19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:26] 5m20s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:25:26] 20s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
