[2025-04-16 01:44:10] 60m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-86j5s          Stopping container nginx
[2025-04-16 01:44:10] 59m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wkthn          Successfully assigned default/nginx-basic-76dd66bf4f-wkthn to worker7
[2025-04-16 01:44:10] 59m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:10] 59m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-wkthn
[2025-04-16 01:44:10] 59m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wkthn          Pulling image "nginx:latest"
[2025-04-16 01:44:10] 59m         Normal    Started                        pod/nginx-basic-76dd66bf4f-wkthn          Started container nginx
[2025-04-16 01:44:10] 59m         Normal    Created                        pod/nginx-basic-76dd66bf4f-wkthn          Created container nginx
[2025-04-16 01:44:10] 59m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-wkthn          Successfully pulled image "nginx:latest" in 750ms (750ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:10] 59m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:10] 59m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:10] 53m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-wkthn          Stopping container nginx
[2025-04-16 01:44:10] 52m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gssx5          Successfully assigned default/nginx-basic-76dd66bf4f-gssx5 to worker7
[2025-04-16 01:44:10] 52m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:10] 52m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gssx5          Pulling image "nginx:latest"
[2025-04-16 01:44:10] 52m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gssx5
[2025-04-16 01:44:10] 52m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gssx5          Successfully pulled image "nginx:latest" in 695ms (695ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:10] 52m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gssx5          Created container nginx
[2025-04-16 01:44:10] 52m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gssx5          Started container nginx
[2025-04-16 01:44:10] 52m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:10] 52m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:10] 48m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gssx5          Stopping container nginx
[2025-04-16 01:44:10] 47m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lw7br          Pulling image "nginx:latest"
[2025-04-16 01:44:10] 46m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lw7br          Successfully assigned default/nginx-basic-76dd66bf4f-lw7br to worker7
[2025-04-16 01:44:10] 47m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lw7br
[2025-04-16 01:44:10] 47m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:10] 46m         Normal    Started                        pod/nginx-basic-76dd66bf4f-lw7br          Started container nginx
[2025-04-16 01:44:10] 46m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lw7br          Successfully pulled image "nginx:latest" in 694ms (694ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:10] 46m         Normal    Created                        pod/nginx-basic-76dd66bf4f-lw7br          Created container nginx
[2025-04-16 01:44:10] 46m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
