timestamp,scale_action,reason
2025-04-23 03:01:04,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:05,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:12,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:13,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:14,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:15,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:22,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:23,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:24,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:25,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:32,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:33,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:34,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:01:35,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 1
2025-04-23 03:05:23,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:24,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:25,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:34,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:35,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:44,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:45,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:54,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:05:55,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:06:04,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:06:05,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:06:14,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:06:15,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
2025-04-23 03:07:53,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:07:54,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:07:55,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:08:05,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:08:15,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:08:25,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:08:35,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:08:45,scaleup,Scaled up replica set nginx-basic-76dd66bf4f to 3 from 2
2025-04-23 03:13:09,scaledown,Scaled down replica set nginx-basic-76dd66bf4f to 2 from 3
2025-04-23 03:13:10,scaledown,Scaled down replica set nginx-basic-76dd66bf4f to 2 from 3
2025-04-23 03:13:39,scaledown,Scaled down replica set nginx-basic-76dd66bf4f to 1 from 2
2025-04-23 03:13:40,scaledown,Scaled down replica set nginx-basic-76dd66bf4f to 1 from 2
