timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-30 11:48:22,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:48:32,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:48:42,nginx-app-7dd8c588d7-hb69k,1,2Mi,1.00,1
2025-04-30 11:48:52,nginx-app-7dd8c588d7-hb69k,1,2Mi,1.00,1
2025-04-30 11:49:02,nginx-app-7dd8c588d7-hb69k,1,2Mi,1.00,1
2025-04-30 11:49:12,nginx-app-7dd8c588d7-hb69k,2,2Mi,2.00,1
2025-04-30 11:49:22,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:49:33,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:49:43,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:49:53,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:50:03,nginx-app-7dd8c588d7-hb69k,4,2Mi,4.00,1
2025-04-30 11:50:13,nginx-app-7dd8c588d7-hb69k,4,2Mi,4.00,1
2025-04-30 11:50:23,nginx-app-7dd8c588d7-hb69k,5,2Mi,5.00,1
2025-04-30 11:50:33,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:50:43,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:50:54,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:04,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:14,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:24,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:34,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:44,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:51:54,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:04,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:14,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:25,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:35,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:45,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:52:55,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:53:05,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:53:15,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:53:25,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:53:35,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:53:46,nginx-app-7dd8c588d7-hb69k,7,2Mi,7.00,1
2025-04-30 11:53:56,nginx-app-7dd8c588d7-hb69k,6,2Mi,6.00,1
2025-04-30 11:54:06,nginx-app-7dd8c588d7-hb69k,5,2Mi,5.00,1
2025-04-30 11:54:16,nginx-app-7dd8c588d7-hb69k,5,2Mi,5.00,1
2025-04-30 11:54:26,nginx-app-7dd8c588d7-hb69k,5,2Mi,5.00,1
2025-04-30 11:54:36,nginx-app-7dd8c588d7-hb69k,4,2Mi,4.00,1
2025-04-30 11:54:46,nginx-app-7dd8c588d7-hb69k,4,2Mi,4.00,1
2025-04-30 11:54:56,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:55:06,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:55:17,nginx-app-7dd8c588d7-hb69k,3,2Mi,3.00,1
2025-04-30 11:55:27,nginx-app-7dd8c588d7-hb69k,2,2Mi,2.00,1
2025-04-30 11:55:37,nginx-app-7dd8c588d7-hb69k,1,2Mi,1.00,1
2025-04-30 11:55:47,nginx-app-7dd8c588d7-hb69k,1,2Mi,1.00,1
2025-04-30 11:55:57,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:07,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:17,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:27,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:38,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:48,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:56:58,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:08,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:18,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:28,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:38,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:48,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:57:59,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:58:09,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
2025-04-30 11:58:19,nginx-app-7dd8c588d7-hb69k,0,2Mi,0,1
