timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-30 14:47:56,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:48:06,nginx-app-7dd8c588d7-rc5hx,1,2Mi,1.00,1
2025-04-30 14:48:16,nginx-app-7dd8c588d7-rc5hx,1,2Mi,1.00,1
2025-04-30 14:48:27,nginx-app-7dd8c588d7-rc5hx,1,2Mi,1.00,1
2025-04-30 14:48:37,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:48:47,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:48:57,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:49:07,nginx-app-7dd8c588d7-rc5hx,3,2Mi,3.00,1
2025-04-30 14:49:17,nginx-app-7dd8c588d7-rc5hx,3,2Mi,3.00,1
2025-04-30 14:49:27,nginx-app-7dd8c588d7-rc5hx,4,2Mi,4.00,1
2025-04-30 14:49:37,nginx-app-7dd8c588d7-rc5hx,4,2Mi,4.00,1
2025-04-30 14:49:48,nginx-app-7dd8c588d7-rc5hx,4,2Mi,4.00,1
2025-04-30 14:49:58,nginx-app-7dd8c588d7-rc5hx,5,2Mi,5.00,1
2025-04-30 14:50:08,nginx-app-7dd8c588d7-rc5hx,5,2Mi,5.00,1
2025-04-30 14:50:18,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:50:28,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:50:38,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:50:48,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:50:58,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:51:08,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:51:19,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:51:29,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:51:39,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:51:49,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:51:59,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:52:09,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:52:19,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:52:29,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:52:40,nginx-app-7dd8c588d7-rc5hx,8,2Mi,8.00,1
2025-04-30 14:52:50,nginx-app-7dd8c588d7-rc5hx,8,2Mi,8.00,1
2025-04-30 14:53:00,nginx-app-7dd8c588d7-rc5hx,8,2Mi,8.00,1
2025-04-30 14:53:10,nginx-app-7dd8c588d7-rc5hx,7,2Mi,7.00,1
2025-04-30 14:53:20,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:53:30,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:53:40,nginx-app-7dd8c588d7-rc5hx,6,2Mi,6.00,1
2025-04-30 14:53:50,nginx-app-7dd8c588d7-rc5hx,5,2Mi,5.00,1
2025-04-30 14:54:00,nginx-app-7dd8c588d7-rc5hx,5,2Mi,5.00,1
2025-04-30 14:54:11,nginx-app-7dd8c588d7-rc5hx,5,2Mi,5.00,1
2025-04-30 14:54:21,nginx-app-7dd8c588d7-rc5hx,4,2Mi,4.00,1
2025-04-30 14:54:31,nginx-app-7dd8c588d7-rc5hx,4,2Mi,4.00,1
2025-04-30 14:54:41,nginx-app-7dd8c588d7-rc5hx,3,2Mi,3.00,1
2025-04-30 14:54:51,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:55:01,nginx-app-7dd8c588d7-rc5hx,2,2Mi,2.00,1
2025-04-30 14:55:11,nginx-app-7dd8c588d7-rc5hx,1,2Mi,1.00,1
2025-04-30 14:55:21,nginx-app-7dd8c588d7-rc5hx,0,2Mi,0,1
2025-04-30 14:55:32,nginx-app-7dd8c588d7-rc5hx,0,2Mi,0,1
2025-04-30 14:55:42,nginx-app-7dd8c588d7-rc5hx,0,2Mi,0,1
2025-04-30 14:55:52,nginx-app-7dd8c588d7-rc5hx,0,2Mi,0,1
