[2025-04-30 14:47:56] 55m         Normal    Scheduled                      pod/nginx-app-7dd8c588d7-8tp47      Successfully assigned default/nginx-app-7dd8c588d7-8tp47 to worker7
[2025-04-30 14:47:56] 55m         Normal    ScalingReplicaSet              deployment/nginx-app                Scaled up replica set nginx-app-7dd8c588d7 to 1
[2025-04-30 14:47:56] 55m         Normal    SuccessfulCreate               replicaset/nginx-app-7dd8c588d7     Created pod: nginx-app-7dd8c588d7-8tp47
[2025-04-30 14:47:56] 55m         Normal    Pulling                        pod/nginx-app-7dd8c588d7-8tp47      Pulling image "nginx:latest"
[2025-04-30 14:47:56] 55m         Normal    Pulled                         pod/nginx-app-7dd8c588d7-8tp47      Successfully pulled image "nginx:latest" in 853ms (853ms including waiting). Image size: 72404038 bytes.
[2025-04-30 14:47:56] 55m         Normal    Created                        pod/nginx-app-7dd8c588d7-8tp47      Created container nginx
[2025-04-30 14:47:56] 55m         Normal    Started                        pod/nginx-app-7dd8c588d7-8tp47      Started container nginx
[2025-04-30 14:47:56] 37m         Normal    Killing                        pod/nginx-app-7dd8c588d7-8tp47      Stopping container nginx
[2025-04-30 14:47:56] 26m         Normal    Pulling                        pod/nginx-app-7dd8c588d7-g69m7      Pulling image "nginx:latest"
[2025-04-30 14:47:56] 26m         Normal    Scheduled                      pod/nginx-app-7dd8c588d7-g69m7      Successfully assigned default/nginx-app-7dd8c588d7-g69m7 to worker7
[2025-04-30 14:47:56] 26m         Normal    SuccessfulCreate               replicaset/nginx-app-7dd8c588d7     Created pod: nginx-app-7dd8c588d7-g69m7
[2025-04-30 14:47:56] 26m         Normal    ScalingReplicaSet              deployment/nginx-app                Scaled up replica set nginx-app-7dd8c588d7 to 1
[2025-04-30 14:47:56] 26m         Normal    Pulled                         pod/nginx-app-7dd8c588d7-g69m7      Successfully pulled image "nginx:latest" in 698ms (698ms including waiting). Image size: 72404038 bytes.
[2025-04-30 14:47:56] 26m         Normal    Created                        pod/nginx-app-7dd8c588d7-g69m7      Created container nginx
[2025-04-30 14:47:56] 26m         Normal    Started                        pod/nginx-app-7dd8c588d7-g69m7      Started container nginx
[2025-04-30 14:47:56] 9m25s       Normal    Killing                        pod/nginx-app-7dd8c588d7-g69m7      Stopping container nginx
[2025-04-30 14:47:56] 9m24s       Warning   FailedGetScale                 horizontalpodautoscaler/nginx-hpa   deployments/scale.apps "nginx-app" not found
[2025-04-30 14:47:56] 20s         Normal    Pulling                        pod/nginx-app-7dd8c588d7-rc5hx      Pulling image "nginx:latest"
[2025-04-30 14:47:56] 20s         Normal    SuccessfulCreate               replicaset/nginx-app-7dd8c588d7     Created pod: nginx-app-7dd8c588d7-rc5hx
[2025-04-30 14:47:56] 20s         Normal    ScalingReplicaSet              deployment/nginx-app                Scaled up replica set nginx-app-7dd8c588d7 to 1
[2025-04-30 14:47:56] 20s         Normal    Scheduled                      pod/nginx-app-7dd8c588d7-rc5hx      Successfully assigned default/nginx-app-7dd8c588d7-rc5hx to worker7
[2025-04-30 14:47:56] 19s         Normal    Started                        pod/nginx-app-7dd8c588d7-rc5hx      Started container nginx
[2025-04-30 14:47:56] 19s         Normal    Created                        pod/nginx-app-7dd8c588d7-rc5hx      Created container nginx
[2025-04-30 14:47:56] 19s         Normal    Pulled                         pod/nginx-app-7dd8c588d7-rc5hx      Successfully pulled image "nginx:latest" in 689ms (689ms including waiting). Image size: 72404038 bytes.
[2025-04-30 14:48:06] 55m         Normal    Scheduled                      pod/nginx-app-7dd8c588d7-8tp47      Successfully assigned default/nginx-app-7dd8c588d7-8tp47 to worker7
[2025-04-30 14:48:06] 55m         Normal    ScalingReplicaSet              deployment/nginx-app                Scaled up replica set nginx-app-7dd8c588d7 to 1
[2025-04-30 14:48:06] 55m         Normal    SuccessfulCreate               replicaset/nginx-app-7dd8c588d7     Created pod: nginx-app-7dd8c588d7-8tp47
[2025-04-30 14:48:06] 55m         Normal    Pulling                        pod/nginx-app-7dd8c588d7-8tp47      Pulling image "nginx:latest"
